name,wins,losses,total_strikes,avg_sig_str,avg_sig_str_att,sig_str_accuracy,avg_td,avg_td_att,td_accuracy,avg_sub_att,avg_ctrl_time,total_kd,avg_fight_duration,weight_class_numeric,experience_diff,age_difference,r_odds,b_odds
Josh Barnett,3,2,401,53,80,0.66,0.2,0.8,0.25,0.5,411.5,1,175.4,265,5.8,2.6,-68.6,44.4
Josh Bryant,0,1,9,9,45,0.2,0,2,0,NA,NA,0,192,185,8,1,155,-175
Josh Clopton,0,2,141,24,37.5,0.64,2,3,0.67,NA,NA,0,300,145,4,4,-580,475
Josh Copeland,0,2,39,14.5,46,0.32,0,0,NA,NA,NA,0,246,265,2,4,-270,245
Josh Emmett,6,2,720,40.75,110.25,0.37,1.12,2.5,0.45,0.2,113.53,16,260.88,145,3.25,2.62,-25.62,-27.12
Josh Ferguson,0,2,166,27,61.5,0.44,0.5,4.5,0.11,NA,NA,0,161,125,5,6,-230,90
Josh Grispi,0,4,76,10,26.75,0.37,1.75,4,0.44,2,239,0,247.25,145,3,2.75,-56.25,16.25
Josh Koscheck,2,6,257,14.88,53.38,0.28,1.38,3.75,0.37,0.2,384.47,0,279.5,170,2.75,5.12,-205.88,175
Josh Neer,2,3,249,36,73.2,0.49,0.2,1,0.2,0.83,58.33,0,225,170,2.4,2.8,-189,167
Josh Samman,3,2,187,17.2,32.6,0.53,0.6,1.8,0.33,0.33,267.17,2,195.2,185,2.6,3.6,-102,70
Josh Shockley,0,2,47,14,42,0.33,0,1,0,NA,NA,0,298.5,155,1,6.5,-182.5,67.5
Josh Stansbury,1,2,241,33.67,61.67,0.55,0,1.67,0,1,595,0,227,205,1.67,5.33,-136.67,50
Josh Thomson,1,3,157,33.25,87.25,0.38,1.5,5.75,0.26,0,362,1,281,155,6,6.25,-151.25,121.25
Joshua Burkman,1,6,396,26.43,57.29,0.46,0.71,2.71,0.26,0,112.25,0,176.71,170,2.71,4.14,-27.86,-12.14
Journey Newson,0,1,41,38,123,0.31,0,1,0,NA,NA,0,300,135,4,7,-380,315
Juan Adams,1,3,238,44.25,86.75,0.51,0.5,0.75,0.67,0,120,0,130.5,265,0.25,5.5,36.25,-130
Julia Avila,1,0,66,49,122,0.4,0,1,0,NA,NA,1,300,135,1,3,-250,210
Julian Erosa,1,4,502,34.6,80.8,0.43,0.6,0.8,0.75,1.33,188.17,0,157.8,145,1,2.4,-260,192
Julian Marquez,1,1,86,39.5,105.5,0.37,0,2,0,5,55,0,231,185,3,0.5,-112.5,72.5
Juliana Lima,2,4,351,27.5,64,0.43,1.67,5.17,0.32,0,586,0,258.83,115,2.17,7,-155,116.67
Julianna Pena,4,1,480,31,57.4,0.54,1.8,3.8,0.47,1.33,589.33,0,281.6,135,0.8,2.6,-158,118
Julie Kedzie,0,2,154,41,131,0.31,1,4.5,0.22,NA,NA,0,300,135,2,3.5,0,-12.5
Julija Stoliarenko,0,1,66,57,158,0.36,0,4,0,NA,NA,0,300,145,0,1,170,-200
Julio Arce,3,2,351,53.2,156.4,0.34,0.6,2,0.3,0.75,144,1,236.8,145,1,1.4,-246,135
Julio Paulino,0,2,70,14.5,52,0.28,0,0,NA,NA,NA,0,300,170,6,6.5,-320,257.5
Jumabieke Tuerxun,0,3,158,17,58.67,0.29,0.33,3,0.11,NA,NA,0,235.67,135,1,1.67,71.67,-131.67
Junior Albini,0,4,132,23.75,48,0.49,0.75,2,0.38,0,223.5,0,169.25,265,1.75,8,-113.75,86.25
Junior Assuncao,1,1,214,53,79.5,0.67,3,13,0.23,0,765,0,300,145,2,3,-100,80
Junior Dos Santos,11,6,1063,57.18,118.53,0.48,0.29,0.53,0.56,0.11,47.67,10,209.29,265,3.76,3.94,-169.71,128.24
Jussier Formiga,8,6,553,16.43,41.86,0.39,1.5,4.36,0.34,0.45,387.3,2,267.07,125,2.21,3.29,-46.79,-18.21
Justin Edwards,2,5,614,29.57,70.14,0.42,1.57,5.86,0.27,1.6,266.6,2,232.29,155,1.57,3,30.43,-59.29
Justin Gaethje,4,2,413,68,122.33,0.56,0,0.17,0,0,28.8,3,175.83,155,11.17,2.83,3.33,-24.17
Justin Jones,0,2,240,25.5,70.5,0.36,1,6.5,0.15,NA,NA,0,300,185,1.5,3.5,-170,125
Justin Lawrence,1,2,182,28.67,82.33,0.35,0.67,2.33,0.29,NA,NA,2,134.33,145,5.33,4,-31.67,15
Justin Ledet,2,3,420,34.4,80.4,0.43,0.2,0.4,0.5,0.5,62.17,0,210.2,205,0.4,4,-99,39
Justin Salas,3,2,186,32.8,74.2,0.44,1.4,7.6,0.18,0,133.67,1,206.8,155,4,3.4,-41,25
Justin Scoggins,3,4,696,36.86,72,0.51,3,4.57,0.66,1.5,452.1,0,235,125,2.43,5,92.14,-159.29
Justin Tafa,1,1,27,8,12,0.67,0,0,NA,0,71,1,124.5,265,0,4.5,-172.5,42.5
Justin Willis,4,1,283,42.2,71.2,0.59,0.8,1.2,0.67,0,159,2,270.6,265,2,4.2,-155,84
Justine Kish,1,2,410,62.33,127.33,0.49,0.33,1,0.33,0.5,266.5,0,300,125,1,2,-83.33,56.67
KJ Noons,2,3,344,29,74.8,0.39,0,0,NA,0,0.75,2,220.2,155,5.4,3,-42,-15.4
Kai Kara-France,3,0,310,78.33,179.67,0.44,1,2.67,0.38,0,590,2,300,125,1,1.67,-50,6.67
Kailin Curran,0,5,420,42.6,104.8,0.41,1.8,3,0.6,0.5,618.33,0,217.6,115,1.2,5.4,87,-109
Kajan Johnson,4,3,238,30.86,71.86,0.43,1.29,3.43,0.38,0.25,211.83,2,236.14,155,2.43,3.57,-27.14,-101.43
Kalindra Faria,0,2,52,19,37,0.51,0.5,1,0.5,1,63,0,237,125,0.5,0,165,-195
Kamal Shalorus,0,3,54,13.67,62,0.22,0.33,2,0.17,0,35,0,121,155,6,13,-173.33,151
Kamaru Usman,10,0,1490,82.8,156.8,0.53,3.6,7.5,0.48,0.25,1146.42,5,281.8,170,2,3.7,-205,109.5
Karl Roberson,4,2,564,28.67,54.5,0.53,0.67,1.17,0.57,0.75,369.5,2,258,185,1.83,4.17,-127.5,55.83
Karlos Vemola,2,4,585,15.17,34.33,0.44,1.17,4.5,0.26,2.8,246.8,0,193.5,185,1.5,4,65.83,-117.5
Karo Parisyan,0,1,5,2,6,0.33,0,0,NA,NA,NA,0,107,170,0,7,-160,140
Karol Rosa,1,0,177,171,351,0.49,0,0,NA,NA,NA,1,300,135,0,1,-115,-105
Karolina Kowalkiewicz,4,5,757,68.22,180.22,0.38,0.11,0.78,0.14,0.25,142.95,0,266.78,115,1.67,3.56,-216.11,162.22
Katsunori Kikuno,2,2,260,19.5,42.75,0.46,1,1.25,0.8,0.33,206.67,0,168,145,5,3.75,-103.75,86.25
Kazuki Tokudome,1,2,162,29.33,78,0.38,1.33,3.67,0.36,0,510,1,251.33,155,3.33,4,-52,42
Kazula Vargas,0,2,109,17.5,35.5,0.49,0.5,1.5,0.33,0,206,0,271,155,0,8,-15,-25
Keita Nakamura,4,4,377,29,77.62,0.37,1.5,3.5,0.43,0.75,288.5,3,279.5,170,1.75,4.12,-220.62,95.62
Keith Berish,0,1,68,61,168,0.36,2,5,0.4,NA,NA,0,300,185,1,4,130,-150
Keith Jardine,0,1,66,65,227,0.29,0,0,NA,NA,NA,0,300,205,2,1,140,-150
Keith Wisniewski,0,3,151,37,69,0.54,1,3,0.33,0.5,414.5,0,300,170,1,2.67,43.33,-61.67
Kelly Faszholz,0,2,209,60,124.5,0.48,0,1.5,0,0,106,0,297.5,135,0,4,-212.5,75
Kelvin Gastelum,7,4,1358,48.82,109.64,0.45,0.55,1.27,0.43,0.25,213.39,14,253.27,185,2.91,8.55,-96.55,26.82
Ken Stone,2,2,133,22.5,44,0.51,0.5,1.25,0.4,0.33,166.33,0,179.5,135,4.25,3.75,-82.5,51.25
Kendall Grove,1,3,237,18.75,57,0.33,0.5,1,0.5,NA,NA,1,267.5,185,4.75,3.25,107.5,-122.5
Kennedy Nzechukwu,1,1,97,45,97.5,0.46,0,0,NA,0,264,0,280,205,2.5,3,-152.5,130
Kenny Florian,2,2,576,36.75,122,0.3,1.5,7.5,0.2,0.67,499.33,0,268,145,3.5,5.25,-268.75,237.5
Kenny Robertson,4,5,541,36.33,77.22,0.47,0.89,3.33,0.27,1.2,421.2,2,219.22,170,2.11,3.67,-21.67,3.89
Ketlen Vieira,4,1,307,32.4,92,0.35,1.6,2.8,0.57,0.75,366,0,289.4,135,1.4,6.8,-109,40
Kevin Aguilar,1,2,132,33.33,125,0.27,0.33,0.33,1,0,69.5,0,267,145,2,2,-40,-46.67
Kevin Casey,1,3,189,24,52,0.46,0.25,2,0.12,0.67,397.67,0,237.5,185,3.75,3.25,-195,162.5
Kevin Ferguson,0,1,14,5,21,0.24,2,5,0.4,NA,NA,0,264,265,7,5,-103,-107
Kevin Holland,3,1,469,57.5,96.25,0.6,1.75,3,0.58,2.33,501,0,265.75,185,0.75,4.5,-227.5,166.25
Kevin Lee,11,6,2284,46.12,107.47,0.43,2.53,5.82,0.43,1.27,567.78,2,233.53,155,3.65,6.94,29.41,-63.53
Khabib Nurmagomedov,11,0,946,54.91,114.45,0.48,5.18,11,0.47,1.37,937.17,2,227.55,155,3.55,4.09,-149.82,102.09
Khadis Ibragimov,0,1,70,53,102,0.52,2,4,0.5,NA,NA,0,300,205,4,15,-235,195
Khalid Murtazaliev,1,0,53,48,69,0.7,5,5,1,NA,NA,0,300,185,12,10,-165,145
Khalid Taha,1,1,128,18.5,31,0.6,0,0,NA,0,37,2,162.5,135,1,2.5,2.5,-32.5
Khalil Rountree Jr.,4,3,132,16.86,36,0.47,0,0,NA,0,21.5,8,180.43,205,1.71,3.43,-101.43,20.71
Khama Worthy,1,0,21,21,51,0.41,0,0,NA,NA,NA,1,255,155,2,7,-1000,650
Kiichi Kunimoto,3,2,187,17.6,40,0.44,1,5,0.2,0.5,432.67,0,206.2,170,2,4,-210,146
Klidson Abreu,1,2,140,30.33,76.33,0.4,0.67,3.33,0.2,NA,NA,0,300,205,3.33,2.67,-70,45
Konstantin Erokhin,0,2,51,16,43.5,0.37,0,0,NA,NA,NA,0,300,265,2.5,5.5,250,-285
Kris McCray,0,2,147,25.5,44,0.58,2.5,4.5,0.56,0,545,0,220.5,170,0.5,3,-252.5,107.5
Kron Gracie,1,1,112,44,105,0.42,0.5,2,0.25,NA,NA,0,213,145,3,2.5,200,-232.5
Krzysztof Jotko,6,3,683,31.67,65.67,0.48,1.11,2.44,0.45,0,439.5,1,254.89,185,2.44,4.33,-132.22,90
Krzysztof Soszynski,2,2,256,39.75,84.5,0.47,0,0.75,0,1,432.33,0,205.75,205,0.5,3,-72,-4.25
Kurt Holobaugh,0,4,794,50.75,121,0.42,1,2.75,0.36,0.67,206.33,2,205,155,1.5,3.25,-201.25,170
Kurt Pellegrino,1,2,236,34,85.67,0.4,1.67,3.33,0.5,1,490,1,286.67,155,4.33,2.33,-81,64.33
Kwan Ho Kwak,0,2,69,31.5,76,0.41,0.5,0.5,1,0,21,0,274.5,135,1,2.5,-170,140
Kyle Bochniak,2,5,315,39.43,125.57,0.31,1.14,7.43,0.15,0,221.5,1,300,145,1.29,4,-112.86,30.71
Kyle Kingsbury,3,4,333,38.43,89.14,0.43,2.29,5.29,0.43,0,249.58,1,233.43,205,4,2,125.43,-145.43
Kyle Nelson,1,2,128,19.33,53,0.36,0.67,4,0.17,4,259,0,125,145,1.33,5.33,-163.33,40
Kyle Noke,6,6,938,29.75,58.25,0.51,0.92,1.67,0.55,0.62,159.12,6,216.67,170,2.83,4.83,-15.67,-42.67
Kyle Prepolec,0,2,198,48,137.5,0.35,0,1.5,0,0,48,0,300,155,5,5,-150,97.5
