name,wins,losses,total_strikes,avg_sig_str,avg_sig_str_att,sig_str_accuracy,avg_td,avg_td_att,td_accuracy,avg_sub_att,avg_ctrl_time,total_kd,avg_fight_duration,weight_class_numeric,experience_diff,age_difference,r_odds,b_odds
Shanna Young,0,1,50,40,71,0.56,0,1,0,NA,NA,0,300,135,0,1,-800,550
Shannon Gugerty,0,1,6,1,7,0.14,0,1,0,NA,NA,0,220,155,5,0,-420,335
Shawn Jordan,6,4,378,23.5,47.2,0.5,0.9,2.6,0.35,0,305.83,3,186,265,2.9,4.4,-26.5,-9
Shayna Baszler,0,1,19,8,30,0.27,1,4,0.25,NA,NA,0,116,135,6,3,-145,135
Sheila Gaff,0,2,20,5,10,0.5,0,0,NA,NA,NA,0,187,135,5,5,-382.5,330
Sheldon Westcott,1,1,98,25,62,0.4,2,6,0.33,0,745,0,246,170,0.5,2.5,12.5,-42.5
Sheymon Moraes,2,3,204,37.6,89,0.42,0,0.8,0,NA,NA,2,271.4,145,2,1.4,-240,200
Shinsho Anzai,2,2,193,26.5,45.5,0.58,1,6.25,0.16,0,279,0,192,170,4,3.75,81.25,-188.75
Shunichi Shimizu,0,1,5,2,6,0.33,0,6,0,NA,NA,0,233,135,1,3,-325,295
Sijara Eubanks,2,2,702,71.5,180.25,0.4,2,4.5,0.44,0,412.33,2,300,135,2.25,4,-340,272.5
Simeon Thoresen,0,2,69,33,84.5,0.39,0.5,0.5,1,0,217,0,275,170,3,3,-172.5,157.5
Sirwan Kakai,1,0,85,52,146,0.36,5,10,0.5,NA,NA,1,300,135,2,4,-115,-105
Siyar Bahadurzada,3,4,808,33,83.43,0.4,1,1.71,0.58,0.7,176.7,8,240.43,170,2.43,4.57,-87.14,62.86
Soa Palelei,4,2,292,16.67,29,0.57,1.33,3.17,0.42,0,295.25,0,165.5,265,3.33,5.5,-37.17,21.17
Sodiq Yusuff,4,0,267,50.75,106.25,0.48,0,0.75,0,0.33,264.33,2,247,145,0.5,3,166.25,-221.25
Song Kenan,3,1,132,31,68,0.46,0,0,NA,0,11.33,3,185,170,1,1.75,-2.5,-33.75
Song Yadong,4,0,382,33.5,80.25,0.42,0.75,0.75,1,1,272.5,6,244.75,135,2,8.75,-157.5,56.25
Spencer Fisher,1,4,388,45.2,110.2,0.41,0.4,1.6,0.25,1,76,0,274.2,155,4,6.5,-225,198
Spike Carlyle,1,0,29,20,29,0.69,0,0,NA,NA,NA,0,85,145,0,4,-190,165
Stanislav Nedkov,1,2,190,24,45.67,0.53,1.67,2.67,0.62,NA,NA,2,206.33,205,0.67,3.67,-160,143.33
Stefan Sekulic,0,1,31,22,58,0.38,1,5,0.2,NA,NA,0,300,170,2,4,-680,490
Stefan Struve,9,9,509,22.72,51.11,0.44,0.28,0.61,0.45,0.83,54.08,3,183.22,265,5,6.06,-91.72,59.67
Stephan Bonnar,3,1,390,35,77.25,0.45,2.25,4.5,0.5,1,864,1,267,205,0.25,1.75,-323,261.75
Stephen Bass,0,1,78,73,140,0.52,0,6,0,NA,NA,0,300,145,2,3,104,-114
Stephen Thompson,9,4,823,57.54,125.85,0.46,0.23,0.62,0.38,0,120.85,8,280.85,170,3.08,4.38,-13.46,-46.92
Steve Bosse,2,1,250,32.67,61.67,0.53,0.33,1,0.33,0,162.5,2,127,205,4.67,1.33,-188.33,161.67
Steve Cantwell,0,3,316,43.67,139,0.31,0.67,2.67,0.25,1.5,59.5,0,300,185,0.67,7.67,-203.33,183.33
Steve Garcia,0,1,98,21,39,0.54,1,1,1,NA,NA,0,300,155,2,1,-270,230
Steve Kennedy,0,2,64,20.5,57,0.36,1.5,4.5,0.33,NA,NA,0,238.5,170,2.5,5,-395,322.5
Steve Lopez,0,1,68,23,71,0.32,0,0,NA,NA,NA,0,300,155,3,4,140,-160
Steve Montgomery,0,2,204,43,109.5,0.39,0,0,NA,0,2,0,231.5,185,0,9,165,-195
Steve Steinbeiss,0,1,148,85,129,0.66,0,1,0,NA,NA,0,300,185,2,1,-195,168
Steven Peterson,2,3,394,59.4,173.8,0.34,1.8,5.2,0.35,0.5,333.25,1,258.2,145,3.6,2.8,-96,32
Steven Siler,5,3,517,35.25,82.12,0.43,0.38,1.75,0.21,1.53,174.6,1,224.25,145,2.62,3.38,-141.25,123.12
Stevie Ray,7,4,591,40.82,90.82,0.45,0.55,1.18,0.46,0.97,179.57,1,247.18,155,3.09,4,-104.55,51.36
Stipe Miocic,13,3,1354,52.69,101.31,0.52,1.56,4.12,0.38,0,358.97,6,207.56,265,1.62,3.56,-188.44,153.44
Sultan Aliev,2,2,140,15,32.75,0.46,1.25,3.25,0.38,0,579.67,0,265.5,170,1,2.75,-96.25,23.75
Suman Mokhtarian,0,1,6,5,9,0.56,0,0,NA,NA,NA,0,134,145,1,1,450,-600
Sung Bin Jo,0,1,23,21,63,0.33,1,3,0.33,NA,NA,0,300,145,3,5,110,-130
Syuri Kondo,0,3,123,37,88,0.42,0,0,NA,NA,NA,0,211,115,1.33,0.67,-224.67,194.67
TJ Brown,0,1,91,32,47,0.68,7,7,1,NA,NA,0,218,145,1,1,-135,115
TJ Dillashaw,12,3,2678,66.87,161.13,0.41,1.4,3.73,0.38,1.89,314.05,18,200.33,125,3.07,2.6,-329,264.67
TJ Grant,6,2,1140,53.25,98,0.54,1.12,2.5,0.45,1.83,344,8,256.25,155,3.25,3.38,-71.75,43
TJ O'Brien,0,2,66,30,65,0.46,0.5,0.5,1,NA,NA,0,177,155,3,2,-320,280
TJ Waldburger,4,4,183,15,29.25,0.51,1.5,3.25,0.46,4.47,287.87,2,183.62,170,2.75,6.38,-110,60.62
Tae Hyun Bang,2,3,195,33.2,86.6,0.38,0.4,1.2,0.33,1,93.17,3,251.4,155,1,1.6,-82,40.6
Tai Tuivasa,3,3,219,35.83,73.83,0.49,0,0.33,0,0,145.67,2,226.17,265,1.67,8.17,-96.67,63.33
Taila Santos,0,1,57,36,100,0.36,1,1,1,NA,NA,0,300,125,2,7,185,-225
Takanori Gomi,3,9,320,19.75,58.58,0.34,0.08,0.33,0.25,0,69.57,2,171.67,155,3.75,5.17,-127.58,88.42
Takashi Sato,1,1,67,28.5,79,0.36,0.5,1,0.5,NA,NA,1,96.5,170,7,4.5,-100,45
Takenori Sato,0,2,2,0.5,1.5,0.33,0,2,0,NA,NA,0,65,170,4.5,1,-880,720
Takeya Mizugaki,8,5,876,46.15,114.54,0.4,1.23,2.38,0.52,0.11,286.56,3,251,135,2.77,2.62,-270,231.92
Talita Bernardo,1,3,249,43.5,103.25,0.42,1.5,6.75,0.22,1,589,0,235.5,135,1.5,3,-163.75,128.75
Tamdan McCrory,1,2,101,19,37,0.51,0.67,1.33,0.5,0.5,222,0,197.67,185,3,3.67,-83.33,56.67
Tanner Boser,1,1,125,62.5,127.5,0.49,0,0,NA,NA,NA,0,300,265,0.5,1,-258,169.5
Tarec Saffiedine,2,4,452,60,130.67,0.46,0.67,2,0.33,0.25,217,3,264.67,170,3.33,2.67,-132.5,99.17
Tateki Matsuda,0,2,264,48,139,0.35,0,1,0,0,116,0,300,125,1,3,-145,102.5
Tatiana Suarez,3,0,284,51.67,71,0.73,5,6.33,0.79,0.5,1188,0,245.67,115,2,3,158.33,-242.33
Tatsuya Kawajiri,3,3,320,22.67,48.5,0.47,3,9.67,0.31,0.75,893.5,0,258.33,145,3.83,6.83,-225.33,158.67
Taylor Lapilus,2,1,386,54.33,122.33,0.44,0.67,1.33,0.5,1.5,520.5,2,300,135,1,5.67,-153.33,133.33
Te Edwards,0,2,30,14,35.5,0.39,0.5,0.5,1,0,750,1,157,155,0.5,2,-172.5,117.5
Tecia Torres,5,4,741,56.11,119.78,0.47,0.67,5.11,0.13,0.17,357.5,1,272.56,115,2,3.67,-341.67,275.22
Teemu Packalen,1,3,56,12.5,23,0.54,0.75,3,0.25,1.33,74.67,1,141.75,155,2,2,-36.25,17.5
Terrion Ware,0,4,608,60.25,185.25,0.33,0.5,2.25,0.22,NA,NA,0,300,135,0.5,5.5,-363.75,291.25
Terry Etim,1,3,56,12.75,48.25,0.26,0.5,1.5,0.33,0.67,46.33,0,177.25,155,2,0.75,-363.75,315
Teruto Ishihara,3,5,508,25.88,61.5,0.42,0.38,2.12,0.18,0,111.07,12,229.12,135,2.38,3.38,102.5,-153.75
Thales Leites,8,5,531,30.69,69.46,0.44,1.69,6.08,0.28,1.11,480.83,2,230.62,185,2.31,3.54,-139.62,113.46
Thiago Alves,6,8,856,51.29,118.5,0.43,0.57,1.07,0.53,0.35,114.65,5,258.43,170,3.36,3.07,-148.86,117.29
Thiago Moises,1,2,172,36.67,77.33,0.47,1.33,3.67,0.36,3,483,0,300,155,1.33,5.67,-168.33,141.67
Thiago Perpetuo,1,2,228,28.67,41,0.7,1,2,0.5,NA,NA,4,119,170,1.67,2,-36.67,26.67
Thiago Santos,11,6,1334,32.76,68.41,0.48,0.29,0.76,0.38,0,106.09,20,161.88,205,3.29,3.65,-242.06,169.71
Thiago Silva,1,1,146,67,156.5,0.43,0,0,NA,0,45,1,300,205,4.5,5,-320,290
Thiago Tavares,4,4,730,18.12,46.38,0.39,2,4.38,0.46,0.67,278.33,0,174,145,1.25,4.25,-87.5,71.25
Thibault Gouti,1,5,235,30,87,0.34,0.67,0.83,0.8,0.25,114.5,1,189.33,155,2.67,3.67,-51.67,-9.5
Thomas Almeida,4,3,230,32.29,77.29,0.42,0,0,NA,0,9.42,3,180.71,135,1.29,5.14,-74.29,0
Thomas Gifford,0,2,175,59,156,0.38,0.5,1.5,0.33,NA,NA,0,292.5,155,0.5,0.5,-380,310
Tim Boetsch,9,9,1714,27.44,53.39,0.51,1,2.78,0.36,1.18,178.98,8,209.5,185,4.17,3.94,-121.83,76.56
Tim Credeur,0,1,11,11,24,0.46,0,0,NA,NA,NA,0,48,185,8,3,-130,110
Tim Elliott,4,8,2346,42.08,90.83,0.46,3.33,5.75,0.58,1.88,359.75,2,248.83,125,2.58,2.75,-147.5,100.42
Tim Gorman,0,1,50,15,69,0.22,0,10,0,NA,NA,0,300,135,2,1,-315,285
Tim Hague,0,1,4,3,8,0.38,0,3,0,NA,NA,0,179,265,1,5,-250,230
Tim Kennedy,2,2,260,45,98,0.46,2.5,7.25,0.34,0.33,923,0,205.75,185,5.5,4.25,-153.25,139.5
Tim Means,11,9,2442,47.5,104.6,0.45,0.55,1.3,0.42,0.3,104.5,16,225.3,170,5.85,3.05,-55.75,21.8
Tim Williams,0,2,60,25.5,65.5,0.39,1,2.5,0.4,NA,NA,0,198,185,4,2,-770,527.5
Tina Lahdemaki,0,1,49,29,141,0.21,0,0,NA,NA,NA,0,300,115,4,0,-560,475
Tito Ortiz,1,4,153,21.2,63.8,0.33,0.8,2,0.4,0.83,134.67,1,239.8,205,2.8,4.4,46.6,-86.6
Todd Brown,0,2,66,21.5,47.5,0.45,0,1.5,0,0,257,0,300,205,9,3,27.5,-77.5
Todd Duffee,2,2,90,22,63.25,0.35,0,0,NA,0,20.5,2,96.25,265,1.5,5.25,-27.5,0
Tom Blackledge,0,1,8,8,13,0.62,0,0,NA,NA,NA,0,165,205,4,NA,-190,165
Tom Breese,4,1,332,21.6,37,0.58,0,0.6,0,1,404.5,6,275,185,2,7.6,-73,-39
Tom DeBlass,0,2,168,22.5,63,0.36,1,2,0.5,NA,NA,0,300,185,2,5.5,-41.5,24
Tom Duquesnoy,2,1,182,45.33,100,0.45,0.33,1.33,0.25,0,25,2,209.33,135,0.33,7.67,20,-171.67
Tom Gallicchio,0,1,57,53,200,0.26,1,9,0.11,NA,NA,0,300,170,8,0,-550,425
Tom Lawlor,4,4,610,22.25,53,0.42,1,3.12,0.32,1,241.67,6,162.38,205,3,4.38,-108.12,66.88
Tom Niinimaki,1,3,101,14.5,26.5,0.55,1.5,3.25,0.46,0.5,385,0,230,145,1.25,4.75,-21.25,-41.25
Tom Watson,2,5,457,57.14,128.86,0.44,0.14,2,0.07,0,186.5,1,297.43,185,5.57,2.29,-57.14,45.71
Tomasz Drwal,0,2,19,5,22.5,0.22,0,0,NA,0,83,0,172.5,185,4.5,1,-187.5,157.5
Tommy Hayden,0,2,34,6.5,24,0.27,1,3,0.33,NA,NA,2,263,145,5,4,-312.5,282.5
Tony Ferguson,14,1,1026,61,135.13,0.45,0.27,0.73,0.36,2,62.5,2,248.8,155,4.47,3.27,-267,219.87
Tony Gravely,0,1,43,26,44,0.59,5,7,0.71,NA,NA,0,173,135,0,0,-130,110
Tony Sims,1,2,126,12.67,20,0.63,0.33,0.67,0.5,NA,NA,2,220.33,155,2.33,3.33,11.67,-35
Tonya Evinger,0,2,83,7.5,13.5,0.56,0.5,2.5,0.2,0,408,0,253,135,2,6.5,-292.5,242.5
Tor Troeng,1,3,138,14,30,0.47,0.5,6.5,0.08,0.33,524,0,272.75,185,4.5,3,-128.75,113.75
Tracy Cortez,1,0,155,79,140,0.56,2,9,0.22,NA,NA,0,300,135,0,6,195,-235
Travis Browne,9,7,447,23.62,55.56,0.43,0.56,0.81,0.69,0.25,142.38,6,230.69,265,3.38,3.06,-222,175.75
Trevin Giles,3,2,564,44.2,78.6,0.56,1.2,1.2,1,0.33,296.17,2,194.2,185,2.4,5.6,-38,4
Trevor Smith,4,7,768,43.27,78.27,0.55,1.09,3.82,0.29,0.71,547.92,1,247.73,185,1.91,4.27,-189.09,131.36
Tristan Connelly,1,0,151,64,125,0.51,0,6,0,NA,NA,0,300,170,2,8,-460,365
Tyler Diamond,0,1,72,51,107,0.48,3,4,0.75,NA,NA,0,300,145,2,4,120,-140
Tyler Toner,0,1,30,21,78,0.27,0,0,NA,NA,NA,0,300,145,0,0,235,-275
Tyron Woodley,9,3,547,32.25,66.5,0.48,0.33,1,0.33,0.14,177.26,9,223.83,170,2.67,4.58,-91.25,55.83
Tyson Griffin,1,4,474,26.6,58,0.46,1.6,3.6,0.44,NA,NA,2,225.8,145,3,2.6,-256,225.6
Tyson Nam,0,1,43,40,170,0.24,0,0,NA,NA,NA,0,300,125,12,10,-300,250
Tyson Pedro,3,3,156,18.33,29.17,0.63,0.33,1.33,0.25,1.25,157.25,2,208,205,3.17,6.33,19.17,-92.5
Ulysses Gomez,0,2,51,25.5,101,0.25,0,4,0,NA,NA,0,263,125,6,0,147.5,-160
Uriah Hall,7,6,460,30.08,60.69,0.5,0.38,1.15,0.33,0.43,61.7,5,217.08,185,2.23,3.23,-209.23,140.38
Urijah Faber,11,6,1860,40.88,95.41,0.43,1.53,5.24,0.29,0.69,222.15,10,228.82,135,3.06,5.06,-306.71,246.59
Vagner Rocha,1,3,248,21.25,50,0.42,0.75,2.25,0.33,1.33,179,0,183.25,155,6.5,5.25,-36.25,-2.5
Valentina Shevchenko,7,2,1682,51.78,104.11,0.5,2.22,4.33,0.51,0.8,532.75,2,262.22,125,1.56,2,-426.67,253.33
Valerie Letourneau,3,2,902,72.2,203.6,0.35,1,2.2,0.45,0.67,216.5,2,300,115,1.2,6.2,-311,198
Valmir Lazaro,1,2,243,73,195.67,0.37,1.33,3.33,0.4,0,250,0,300,155,3.67,2,-70,55
Vanessa Melo,0,2,144,54,187.5,0.29,0,0.5,0,0,15,0,300,135,2,3,-165,90
Vaughan Lee,3,5,1092,32.25,68.25,0.47,0.5,1.5,0.33,0.83,104.83,2,219.75,125,2.88,2.88,-183.38,156.88
Vicente Luque,8,3,501,41.64,74.82,0.56,0.18,0.64,0.29,0.93,152.96,7,221.27,170,3.64,3.91,-280.45,171.36
Vik Grujic,1,2,342,26,56,0.46,0.67,2.33,0.29,1,353,0,298.33,170,2.33,9,-160,76.67
Viktor Pesta,1,4,239,15.8,43.4,0.36,2.2,7.6,0.29,0,521.33,0,181,265,1.4,7.2,88,-152
Vinc Pichel,5,2,379,35.29,77.86,0.45,2.86,4.71,0.61,0.58,453.42,1,256.86,155,1,4.57,-82.86,52.14
Vince Morales,1,2,209,65.67,180.67,0.36,0,0,NA,NA,NA,1,300,135,0.33,4.67,-276.67,158.33
Vinicius Moreira,0,3,15,4.67,9,0.52,0,3,0,0,111.5,0,171,205,3,1,-163.33,125
Vinicius Queiroz,0,1,63,47,103,0.46,5,7,0.71,NA,NA,0,103,265,0,1,145,-165
Vinny Magalhaes,1,2,56,15,57,0.26,0.67,2,0.33,1,59.5,0,129.33,205,6.67,6,-311.67,278.33
Virna Jandiroba,0,1,64,17,37,0.46,3,9,0.33,NA,NA,0,300,115,5,1,-130,110
Viscardi Andrade,3,0,170,42.67,96.33,0.44,1.67,3.33,0.5,1,427,1,232,170,1,2.33,-69,50.67
Vitor Belfort,7,6,396,12.46,27.62,0.45,0,0,NA,0.36,15.97,14,159.77,185,1.92,4.77,-213.54,152.62
Vitor Miranda,2,3,266,31.4,78,0.4,0.8,1.4,0.57,0.25,92.25,0,253.6,185,3.2,9,96,-132
Viviane Araujo,2,1,428,61.33,128.33,0.48,2.33,4,0.58,NA,NA,2,216,125,2.67,0.67,23.33,-58.33
Viviane Pereira,2,2,256,40.5,135,0.3,0.25,0.25,1,0.5,171.5,0,300,115,0.75,5.5,-187.5,161.5
Vladimir Matyushenko,3,3,84,10,25,0.4,0.67,0.83,0.8,0,47,1,125.83,205,2.67,11.67,-192.33,104.83
Volkan Oezdemir,5,3,524,47,102.25,0.46,0.25,1.12,0.22,0,120.6,3,203.38,205,1.25,5,-68.75,21.88
Wagner Prado,0,2,43,15,32,0.47,0,0.5,0,0,73,0,214,205,0.5,3,-285,257.5
Wagner Silva,0,1,20,17,52,0.33,0,1,0,NA,NA,0,66,185,0,2,-320,290
Walel Watson,1,3,89,17,58,0.29,0,0.25,0,1.5,40,2,186.5,135,1.75,2,38.5,-51
Walt Harris,6,6,261,19.08,47.5,0.4,0.08,0.25,0.33,0.17,44.33,8,177.67,265,3.75,5.17,-124.83,93.5
Wanderlei Silva,2,1,206,29.67,65,0.46,0,0.67,0,NA,NA,6,188,205,1.33,4,83.33,-111.67
Wang Guan,1,0,75,71,164,0.43,0,3,0,NA,NA,1,300,145,5,3,120,-140
Warlley Alves,6,4,412,34,73.4,0.46,0.9,1.8,0.5,0.88,278.5,1,232,170,1.5,4.4,-107,57.5
Waylon Lowe,2,2,166,22,39,0.56,3.5,6.75,0.52,0.5,673,0,238,155,4,4.5,-45,-36.25
Wellington Turman,1,1,97,36.5,85.5,0.43,3,8,0.38,NA,NA,0,300,185,2,7,-42.5,12.5
Will Brooks,1,3,202,37.25,62.5,0.6,1.75,4.5,0.39,0.5,271.5,0,196.25,155,6.75,2,27.5,-88.75
Will Campuzano,0,4,422,30.75,85.5,0.36,1.25,2.75,0.45,NA,NA,0,293.25,125,1,4.75,221.25,-273.75
Will Chope,0,1,34,33,121,0.27,0,5,0,NA,NA,0,147,145,0,1,-265,245
Willamy Freire,0,1,67,23,50,0.46,1,1,1,NA,NA,0,300,155,0,7,-110,-110
Willie Gates,1,2,74,18,46.67,0.39,0,0,NA,NA,NA,2,173.33,125,4.33,2,-310,244.33
Wilson Reis,6,6,1014,19.75,69.42,0.28,3.75,9.17,0.41,0.74,489.2,0,242.42,125,2.33,3.08,-213.75,135.83
Wu Yanan,1,1,138,20,43.5,0.46,0.5,1.5,0.33,NA,NA,0,270,125,1,6.5,80,-115
Yair Rodriguez,7,1,677,67.38,148.62,0.45,0.75,2.62,0.29,0.83,99.5,3,244.75,145,3.25,6.5,-135,77.5
Yan Cabral,2,3,458,23,49.2,0.47,2.2,7.2,0.31,NA,NA,2,240.4,155,0.8,3.6,-312,252.6
Yan Xiaonan,5,0,589,100.8,239.2,0.42,1.2,1.6,0.75,0,158.83,0,300,115,1.2,3.2,-80,44
Yancy Medeiros,6,7,910,32.54,92,0.35,0.08,0.31,0.25,1.59,59.82,16,206.77,155,3.85,2.46,-141.54,111.92
Yao Zhikui,1,3,306,16.5,76.25,0.22,0.5,3,0.17,0,157,0,236,125,1.5,4.75,45,-70
Yaotzin Meza,1,3,330,22.5,54.75,0.41,0.75,6.25,0.12,1.67,265.33,0,267.25,145,4,9.25,-71.25,11.25
Yasuhiro Urushitani,0,2,74,35,88,0.4,0,0.5,0,0,0,0,155.5,125,6.5,11,-337.5,232.5
Yoel Romero,8,4,820,51.42,104,0.49,1.75,5.17,0.34,0,226.12,9,198.58,185,2.67,7.58,-106.5,85.25
Yoislandy Izquierdo,0,2,87,31.5,60.5,0.52,0,1,0,NA,NA,0,194,155,3.5,3.5,-40,22.5
Yorgan De Castro,1,0,6,4,12,0.33,0,0,NA,NA,NA,1,130,265,0,7,-105,-115
Yosdenis Cedeno,1,3,146,20.5,68.5,0.3,0,0.5,0,0.5,174.5,1,300,155,0.5,3.5,-31.25,2.5
Yoshihiro Akiyama,1,5,702,41,102,0.4,1.5,2.67,0.56,0.33,379.67,0,265.33,170,2,4.17,-56.33,35.5
Yoshinori Horie,0,1,41,39,79,0.49,0,1,0,NA,NA,0,249,145,3,4,-440,350
Yoshiyuki Yoshida,0,1,12,7,23,0.3,1,6,0.17,NA,NA,0,300,170,2,0,-255,215
Yui Chul Nam,0,2,153,41,90,0.46,1.5,12,0.12,1,701,0,300,145,0,3.5,10,-130
Yuri Villefort,0,2,119,58.5,141.5,0.41,2,6.5,0.31,1,208,0,300,170,3,2,-37.5,22.5
Yushin Okami,7,5,1608,20.92,53.58,0.39,1.33,4.83,0.28,0.2,514.97,6,217.25,170,3.25,3.58,-158.33,102.5
Yusuke Kasuya,0,1,7,4,10,0.4,1,2,0.5,NA,NA,0,126,155,0,1,135,-155
Yves Edwards,4,6,422,33.4,84.5,0.4,0.4,1.1,0.36,0.62,163.62,3,224.7,155,2.6,7.1,5.2,-29.5
Yves Jabouin,5,4,391,31.56,75.78,0.42,1.44,2.67,0.54,0,283.33,1,277.22,135,2,5.33,-25.67,-12.11
Zabit Magomedsharipov,6,0,474,63.33,130.67,0.48,4.5,8,0.56,1.5,478.5,0,276.33,145,2.33,2,-377.5,219.17
Zach Makovsky,2,4,265,28.33,68,0.42,3.5,13,0.27,0.75,486.5,0,300,125,4.67,2.17,-195,125.83
Zak Cummings,7,3,856,31.8,98.1,0.32,0.5,1.9,0.26,1.2,206.8,8,257.5,185,1.9,3.1,-246.5,146
Zak Ottow,4,4,324,25.38,68.88,0.37,0.62,2.12,0.29,0.29,244.43,2,242.25,170,1.5,5.25,-12.5,-50
Zarah Fairn,0,2,46,7.5,16.5,0.45,0,0,NA,NA,NA,0,227,145,0.5,6.5,-645,460
Zelim Imadaev,0,2,116,46,110.5,0.42,0.5,1,0.5,0,356,0,297,170,3,8,-65,35
Zhang Lipeng,1,2,228,22.33,44.33,0.5,1,4.33,0.23,NA,NA,0,300,155,0.67,3,176.67,-286.67
Zhang Weili,1,0,29,29,38,0.76,0,0,NA,NA,NA,1,42,115,9,2,-200,170
Zubaira Tukhugov,3,1,126,29.5,74.5,0.4,1,2.25,0.44,0,84,2,265.5,145,1,4.25,-157.5,77.5
